Importing module 'gym_37' (/home/niranjan/Projects/Fetch/IsaacGym_Preview_3_Package/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/niranjan/Projects/Fetch/IsaacGym_Preview_3_Package/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.10.0+cu113
Device count 1
/home/niranjan/Projects/Fetch/IsaacGym_Preview_3_Package/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/niranjan/.cache/torch_extensions/py37_cu113 as PyTorch extensions root...
Emitting ninja build file /home/niranjan/.cache/torch_extensions/py37_cu113/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
pybullet build time: Oct  8 2020 00:10:46
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
Loading extension module gymtorch...
Setting seed: 1
['FL_hip_joint', 'FL_thigh_joint', 'FL_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'FR_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RL_calf_joint', 'RR_hip_joint', 'RR_thigh_joint', 'RR_calf_joint']
'train_cfg' provided -> Ignoring 'name=turning'
(-0.012198289844561526, 0.014767234616817209, -0.004058782795814498)
Loading model from: /home/niranjan/Projects/Fetch/curious_dog_isaac/legged_gym/logs/turning/Sep21_19-36-10_/model_100.pt
Exported policy as jit script to:  /home/niranjan/Projects/Fetch/curious_dog_isaac/legged_gym/logs/turning/exported/policies
(-0.019950352479291836, 0.023775131635892878, -0.005353570078489193)
(-0.028437660689909394, 0.02472836016867772, -0.0020360367251790077)
(-0.029527841960651502, 0.027416557778076993, 0.003008079996911294)
(-0.0012607520919544215, 0.01651563900340714, 0.006047166622586637)
(0.03218383044369794, -0.0054592467395828854, 0.007287927486763279)
(0.030267427181061703, -0.016926592106869323, 0.006098224774595611)
(0.025664635948304582, -0.025378594916071855, 0.005683967404577892)
(0.02729540789554739, -0.03032829182083254, 0.00967081235623069)
(0.031089987806575133, -0.03213600595008385, 0.019043633659182456)
(0.03479133319989539, -0.0323644544027937, 0.03283565352430169)
(0.03503896974741377, -0.03030015592862761, 0.049952133693187656)
(0.03053776690985994, -0.025117857555514975, 0.06965646794987956)
(0.025308201103651482, -0.019804222149087506, 0.09116555280580925)
(0.020154889961760198, -0.01564079073684873, 0.11343344676884694)
(0.014737721733377708, -0.011298638695127095, 0.13586100987507221)
(0.008654428386378556, -0.005039682586396484, 0.15819139490444495)
(0.0014856359648571364, 0.00422144898375703, 0.18039036428072444)
(-0.0007325978839495997, 0.013851983255495203, 0.20327909721970944)
(0.0019135583750443726, 0.01829783295742059, 0.22660135142547785)
(0.010832246810171196, 0.015574495932150151, 0.25018543912657115)
(0.013695846231721142, 0.01047401326123914, 0.2709235258894054)
(0.012577765407678397, 0.00830224714468272, 0.2889308700746141)
(0.011691786214410147, 0.005556782507982136, 0.3065080333278163)
(0.009237906261577741, 0.0011512276421997971, 0.3246059573069961)
(0.0050566079503037605, -0.004492217192249619, 0.343709796228431)
(0.0019874942460828015, -0.010430690935177254, 0.3637391176508471)
(0.0015852040966682283, -0.015470938466790603, 0.38444848807377197)
(0.003846872422026157, -0.018450576779650056, 0.4056711536954425)
(0.008375024901707781, -0.018629325697251325, 0.42727040216538725)
(0.015539372976035455, -0.01567594423380043, 0.448909763994719)
(0.01585225616486794, -0.012011657162636226, 0.46950916462275954)
(0.013728671642983619, -0.012385236516953873, 0.490666365413595)
(0.013009944802069712, -0.016864435689775956, 0.5124686167511527)
(0.01175784096989617, -0.024152858775258818, 0.5343708918934893)
(0.007136520413296707, -0.03145753622270044, 0.5560314082446118)
(0.0014221342822106546, -0.03502714307423026, 0.577121045628978)
(0.0019278662012927599, -0.03603180121903114, 0.5979756376965152)
(0.0039059950691753367, -0.036287459762143266, 0.6186524156132286)
(0.00497915751602366, -0.035964000936370775, 0.6390385945796334)
(0.005522346966114245, -0.03490031170570455, 0.6591330565955678)
(0.005217637529932427, -0.032745087627598854, 0.6791168531990748)
(0.006654920615937795, -0.03189138930142278, 0.6995939054864777)
(0.0101332703422414, -0.03595980426527827, 0.7207242209134055)
(0.00879979463918135, -0.04382789789941762, 0.7407704714516213)
(0.0031985631018682653, -0.04958927146273516, 0.759265741231979)
(0.0028992398028564142, -0.053973717047803176, 0.7772087776939052)
(0.006936226127211431, -0.056924583052195284, 0.7953441575846026)
(0.0126420514750123, -0.05823508713909305, 0.8144369134615285)
(0.017412380336747538, -0.05793511265753218, 0.8347727376726897)
(0.02065767260632104, -0.05610114410936313, 0.8562131857382665)
(0.02309843017681616, -0.05290950318787052, 0.8783696154446459)
(0.025500160400867795, -0.04842134626487261, 0.9008913352916965)
(0.0284511110128909, -0.042632452120431215, 0.9235493177878469)
(0.03296380739444705, -0.03551773962714793, 0.9460862931403697)
(0.03264334457437915, -0.028676936465115398, 0.9675812100224194)
