Importing module 'gym_37' (/home/niranjan/Projects/Fetch/IsaacGym_Preview_3_Package/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/niranjan/Projects/Fetch/IsaacGym_Preview_3_Package/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.10.0+cu113
Device count 1
/home/niranjan/Projects/Fetch/IsaacGym_Preview_3_Package/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/niranjan/.cache/torch_extensions/py37_cu113 as PyTorch extensions root...
Emitting ninja build file /home/niranjan/.cache/torch_extensions/py37_cu113/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
pybullet build time: Oct  8 2020 00:10:46
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
Using VHACD cache directory '/home/niranjan/.isaacgym/vhacd'
Found existing convex decomposition for mesh '/home/niranjan/Projects/Fetch/curious_dog_isaac/legged_gym/resources/scenes/8903/shape/collision/link_0_cm.obj'
Found existing convex decomposition for mesh '/home/niranjan/Projects/Fetch/curious_dog_isaac/legged_gym/resources/scenes/8903/shape/collision/link_2_cm.obj'
Loading extension module gymtorch...
Setting seed: 1
loaded  scenes/8903/8903_big.urdf
'train_cfg' provided -> Ignoring 'name=dooropen'
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0] ,
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0] ,
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0] ,
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0] ,
Loading model from: /home/niranjan/Projects/Fetch/curious_dog_isaac/legged_gym/logs/dooropen/Oct14_14-40-56_/model_3000.pt
[-0.04713866114616394, 0.09611791372299194, 0.0968301072716713, 0.03107641637325287, 0.08648509532213211, 0.05699419975280762, -0.025607939809560776, 0.07523615658283234, 0.10473434627056122, 0.03833130747079849, 0.06289183348417282, 0.13522326946258545] ,
[-0.04713866114616394, 0.09611791372299194, 0.0968301072716713, 0.03107641637325287, 0.08648509532213211, 0.05699419975280762, -0.025607939809560776, 0.07523615658283234, 0.10473434627056122, 0.03833130747079849, 0.06289183348417282, 0.13522326946258545] ,
[-0.04713866114616394, 0.09611791372299194, 0.0968301072716713, 0.03107641637325287, 0.08648509532213211, 0.05699419975280762, -0.025607939809560776, 0.07523615658283234, 0.10473434627056122, 0.03833130747079849, 0.06289183348417282, 0.13522326946258545] ,
[-0.04713866114616394, 0.09611791372299194, 0.0968301072716713, 0.03107641637325287, 0.08648509532213211, 0.05699419975280762, -0.025607939809560776, 0.07523615658283234, 0.10473434627056122, 0.03833130747079849, 0.06289183348417282, 0.13522326946258545] ,
[-0.1507866382598877, 0.23227763175964355, 0.1679287999868393, -0.04059410095214844, 0.23103131353855133, 0.22085356712341309, 0.03089536540210247, 0.10098829865455627, 0.35280460119247437, 0.13607355952262878, 0.1646236628293991, 0.5460785627365112] ,
